rbin_ell,tbin_ell,r_pc,N,sigma_vlos,pmra_med,pmdec_med,sigma_pmra,sigma_pmdec,sigma_vlos_err
158.52536342163665,0,154.76797998569248,9,32.89180820982,-0.4163010610743616,-4.945411643088428,3.0385871636569317,19.729189482294633,8.222952052455
158.52536342163665,1,73.76610138541997,5,4.942343469,0.573510503887678,-7.80423771866154,5.5309521953399905,15.90220598303978,1.7473822909414725
158.52536342163665,2,210.05625962143495,4,16.8787464321,-5.71505465727869,3.791408097886901,3.789379227083839,4.992241487570396,6.890719376077854
317.2263674209622,0,344.5322859562624,7,34.1934691854,-2.2898634165665137,0.5382778051298001,5.506782690576553,21.4651564843527,9.870804319358932
317.2263674209622,1,292.09667600778346,6,22.852707443999993,-4.615564554753114,4.660445673766448,9.403158746446238,8.826683672063803,7.22666062245248
317.2263674209622,2,365.3803832588767,5,44.638795338522,-3.870220791495001,-0.062351623791476,0.42441033092639335,3.4586120531987397,15.782197443933676
433.4551407251487,0,424.71090035053004,3,5.671420469820001,-0.6697908877210348,-4.114998170570109,2.519768354060802,1.9274819547840227,2.8357102349100005
433.4551407251487,1,407.77434420331764,7,4.8125270130000155,-2.123524221185925,-17.536686650243237,7.899717696992658,18.805628664926402,1.3892568832189525
433.4551407251487,2,436.06747826303115,7,22.927620256799997,0.0970515786444294,-14.212685167051635,5.282103712863262,29.490100336182632,6.618633863570498
520.9148553385241,0,520.80566672713,8,33.05162077728,-3.7335809430219395,1.3180833194063646,8.068759925686933,11.125951963947111,8.833417216154343
520.9148553385241,1,516.2797855510387,5,61.626366137699996,-6.551855601319541,-8.027935160080968,4.364229307285516,21.28506888560703,21.788210697926345
520.9148553385241,2,515.1804437952417,5,34.4586900168,-1.184939876391972,-11.919404823899033,3.587457917323188,4.7811966218688475,12.182986690842233
608.0132419757706,0,605.3036957333353,13,31.17827146559999,-2.2170396290352024,-5.466614391128863,4.614364551169556,8.21074073732321,6.364238012724719
608.0132419757706,1,553.0826106092937,1,,16.440455193341645,-19.17719504937956,,,
608.0132419757706,2,588.7443459594883,4,3.110477008800001,-1.9707199113220277,1.088707584586052,2.2848508609342346,2.5211949737400183,1.2698469213697507
