rbin_circ,r_pc,N,sigma_vlos,pmra_med,pmdec_med,sigma_pmra,sigma_pmdec,sigma_vlos_err
"(56.563, 214.521]",139.05781755886733,18,20.6540094201,-1.5410558770688556,-1.1235602014504968,6.116587391477273,13.634509443116174,3.542133393067199
"(214.521, 322.697]",258.8229974699805,18,42.76382877711,-3.614324549502609,-0.1014578830045815,5.139210863856748,10.143712712528918,7.333936130550868
"(322.697, 393.448]",356.7656621633856,17,39.245634766799995,-1.184939876391972,-6.628750646384708,4.262811911958092,11.243941320340786,6.937713618893701
"(393.448, 445.452]",425.66703942406605,18,30.67756668165,-3.00257653815075,-6.747274775604916,6.000710806443798,19.81269804482896,5.261159281517944
"(445.452, 499.118]",464.9477680362002,18,31.521695443979993,-2.954523351323071,-4.522881643349708,4.692896444198203,10.840937163077575,5.405926169935635
