source_id,RA_deg,RA_error,Dec_deg,Dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor,dx_pc,dy_pc,r_pc
1433979147935476224,259.5721790708743,5.580779,58.32684841455924,2.1483457,,,,,,,,,20.980381,21.51234,19.586313,1.9260273,,,1.9642937,-337.85782824961206,545.8984897720143,641.9914900097277
1433155824180752768,260.0724567615263,0.3653183,57.89985590104829,0.37441477,0.5108136326692517,0.3582096,-0.1585167511453957,0.5060734,-1.3615317335363977,0.691955,,,20.159094,20.502472,19.725945,0.7765274,1.038463,,1.1558836,14.624667965082155,-20.485828630048886,25.170420889381862
1433155824180755072,260.0900304395456,0.29984,57.90852395408343,0.32451916,0.5011988718096371,0.32859302,-0.3448305402299288,0.38666195,-0.0064756432396619,0.5092799,,,20.002796,20.288137,19.678455,0.6096821,1.0468163,,1.1250912,27.00661905276956,-8.988087674799417,28.463014469857143
1433155824181280128,260.0916269888196,6.0060725,57.91668054960644,7.0146484,,,,,,,,,21.42426,20.34418,18.485134,1.859045,,,8.26867,28.131505658643693,1.8312303450782608,28.19104494691599
1433156094762651392,260.0843855787778,0.22124158,57.9358850631442,0.23229639,-0.0417719646594221,0.24858847,0.5164889914644579,0.28681803,-0.4831309544108658,0.35743228,,,19.55843,19.898935,18.82522,1.0737152,1.0079243,,1.3569711,23.029398698166585,27.305061773385653,35.72001683716741
1433979182295169408,259.5979973192017,0.39769292,58.33521057346684,0.38670483,0.0689574189584474,0.45605448,-5.185690814971951,0.50458163,-2.5803151984663595,0.5633505,,,20.018396,20.37887,19.458458,0.92041206,0.9939583,,1.2253296,-319.6669698756397,556.9904773909666,642.2035218944926
1433979186591184640,259.5842844487128,0.44722027,58.32860938196893,0.4416502,-0.4137918938950217,0.5184743,-65.01576858641494,0.59475607,13.844973084322476,0.67812574,,,20.052319,20.693535,19.176321,1.5172138,1.0436312,,1.3449918,-329.3286975730562,548.2343254003022,639.5453592922787
1433979186591185280,259.6006969309879,0.037914988,58.342315448261786,0.040067304,1.658550501374091,0.04278671,11.265699811767725,0.051935717,-17.686885915685846,0.05692365,,,16.362265,17.08718,15.537302,1.5498772,1.0610666,607.59,1.2718717,-317.7648944503008,566.4147402076161,649.4614584942451
1433979216654952704,259.6259047725924,1.2581977,58.31656665403426,1.5796577,,,,,,,,,20.905706,21.883741,19.738184,2.1455574,,,1.5283463,-300.00411259065413,532.2602461432692,610.9856276507652
1433979216656166016,259.6454168453972,0.2104242,58.31371449854319,0.21163966,1.6783908933833631,0.23567437,-1.3278989844638087,0.23981316,10.375826957800218,0.26389647,,,19.096733,20.182173,17.941824,2.2403488,1.0492864,,1.4863468,-286.25641954520296,528.4770038318287,601.0246927622076
1433979220950923136,259.64611709711744,0.16337904,58.31451720523745,0.1764087,1.6941232429847946,0.18843682,-8.417605008402017,0.19535424,8.039490808132362,0.2194368,,,18.849663,20.214794,17.681648,2.533146,0.95278174,435.6543,1.4405504,-285.76304061000207,529.5417543122616,601.7266696256543
1433979285375637120,259.63956714342214,0.850597,58.33537930898572,0.921183,1.825013290433282,1.2018979,-2.2052692460215573,1.5958115,-20.05775322132312,1.2911646,,,20.699724,21.235792,19.659449,1.5763435,0.8924467,,1.5399213,-290.37796562414513,557.2142966590538,628.3368008649988
1433979289670400000,259.6314208180752,0.022946458,58.32400191789168,0.025946068,0.781596293961815,0.027611015,-0.5854287084980141,0.03063208,-1.7871016400615818,0.038468447,-44.190945,10.130166,14.510225,14.814238,14.008944,0.80529404,1.5087718,1084.1842,1.2160264,-296.1176520961101,542.1227536083162,617.7238410995451
1433979319734123008,259.658056394808,0.10031919,58.33390930333727,0.11528361,0.2387451486848535,0.117706314,-0.6992656615654598,0.1381409,-1.5628268875556834,0.13974698,,,18.110592,18.555185,17.533705,1.0214806,0.988868,1955.25,1.1976281,-277.3509256353463,555.2644073263417,620.6787397633794
1433979319734154368,259.67006519278766,0.81422144,58.341432898847536,0.9424673,0.5636202082012041,0.89895695,-1.2926433965818735,1.2713937,-5.314095764761665,1.6860968,,,20.75679,21.023373,20.053143,0.9702301,1.0143379,,1.372099,-268.88984258584156,565.2440823327654,625.9413870787333
1433979319734168320,259.6508576564003,1.5361787,58.33583818297103,2.0023472,,,,,,,,,20.902414,21.516113,19.606407,1.9097061,,,1.800807,-282.4229672853017,557.8229701631079,625.2433114330981
1433979354093862784,259.69056771428683,0.18644947,58.33861896498302,0.22078381,1.1537886833775406,0.2094793,-1.9704983137991257,0.24387804,-0.6050127534819724,0.2654603,,,19.070768,20.052116,18.072279,1.9798374,0.9620199,,1.3495805,-254.4443054536488,561.5115391067027,616.471502283575
1433979358389679616,259.6792966164496,1.8798455,58.334717132338575,6.2946553,,,,,,,,,20.917221,20.798359,19.966845,0.83151436,,,1.8192189,-262.385624395076,556.3359522921525,615.1064198185628
1433979427109355008,259.7025199103846,0.07386331,58.35136689708082,0.08593426,0.7967218663150971,0.08154623,2.2166367671726035,0.10235781,-1.4829252378677578,0.1173563,,,17.679344,18.505896,16.779894,1.7260017,1.0031327,1028.1898,1.3025367,-246.02310260069225,578.4210365891811,628.5684231507128
