time,F_nu
0.0,1.975759804715018e-32
5.00695,1.9836312802807502e-32
10.0139,1.9916686571498954e-32
15.0209,1.9998344675525454e-32
20.0278,2.0081323222647704e-32
25.0348,2.0165667646879447e-32
30.0417,2.025141424873182e-32
35.0487,2.0338609054424477e-32
40.0556,2.042730057805697e-32
45.0626,2.0517535254953447e-32
50.0695,2.0609360565111642e-32
55.0765,2.070282771729287e-32
60.0834,2.0797989482213516e-32
65.0904,2.0894902706988678e-32
70.0974,2.0993621733669805e-32
75.1043,2.1094204539887468e-32
80.1113,2.119671089388301e-32
85.1182,2.130120391150453e-32
90.1252,2.140774699338178e-32
95.1321,2.1516401825496008e-32
100.139,2.1627241234949527e-32
105.146,2.1740326797355306e-32
110.153,2.18557301184222e-32
115.16,2.1973524001495063e-32
120.167,2.2093775706325598e-32
125.174,2.2216556948375839e-32
130.181,2.2341861387102272e-32
135.188,2.2469278370632652e-32
140.195,2.259857492278157e-32
145.202,2.2729661835581712e-32
150.209,2.286363264058549e-32
155.216,2.34629344374377e-32
160.223,5.022934480024983e-31
165.229,3.706066111176344e-28
170.236,1.9840668836441546e-25
175.243,7.343627632839071e-23
180.25,1.882147260166429e-20
185.257,3.3462925672378203e-18
190.264,4.1340448448546375e-16
195.271,3.5547695172586246e-14
200.278,2.131082038569769e-12
205.285,8.922761331515114e-11
210.292,2.6140895004552122e-09
215.299,5.365143066005697e-08
220.306,7.7482165331775e-07
225.313,7.897616207819087e-06
230.32,5.694534442110232e-05
235.327,0.00025447523590596576
240.334,0.000735974527939701
245.341,0.0016017832903804457
250.348,0.0028103228376117413
255.355,0.00413643579052546
260.362,0.005281441862566
265.369,0.006053218164552762
270.376,0.006447692679234761
275.382,0.0065817457157840474
280.389,0.006597506530493226
285.396,0.00658717657957584
290.403,0.006573547052695781
295.41,0.006559379624332004
300.417,0.006545416908246911
305.424,0.006531426107912917
310.431,0.0065176243636837685
315.438,0.006503732225006701
320.445,0.006489976160114749
325.452,0.00647616465345369
330.459,0.006462464981263879
335.466,0.006448581151882586
340.473,0.006434758579809115
345.48,0.0064210216860690235
350.487,0.006407095608546353
355.494,0.00639341420923102
360.501,0.006379676650188955
365.508,0.006365695700544307
370.515,0.006351709842963064
375.522,0.006337879582994155
380.529,0.006323893475613139
385.535,0.006309943430732119
390.542,0.00629592621646218
395.549,0.006281859539835645
400.556,0.0062674013770857235
405.563,0.006252925864047748
410.57,0.006238778553596897
