time,F_nu
0.0,2.56326278058356e-31
5.00695,2.571905658717739e-31
10.0139,2.580681110360222e-31
15.0209,2.5895425858974282e-31
20.0278,2.598491007717438e-31
25.0348,2.607527741603524e-31
30.0417,2.6166532699699587e-31
35.0487,2.625868362088558e-31
40.0556,2.6351741798054097e-31
45.0626,2.6445718411037696e-31
50.0695,2.6540617232578135e-31
55.0765,2.663644700986994e-31
60.0834,2.6733220564622553e-31
65.0904,2.6830943627451653e-31
70.0974,2.6929617067925377e-31
75.1043,2.7029259351488906e-31
80.1113,2.7129865273034873e-31
85.1182,2.723144932113727e-31
90.1252,2.7334014859510258e-31
95.1321,2.743756477441278e-31
100.139,2.7542106438721826e-31
105.146,2.7647643451803777e-31
110.153,2.7754173797352188e-31
115.16,2.786170535991311e-31
120.167,2.7970231309416864e-31
125.174,2.8079759601912355e-31
130.181,2.819026287829422e-31
135.188,2.8301615768130846e-31
140.195,2.8413724040910724e-31
145.202,2.8526499210577234e-31
150.209,2.8639869165634295e-31
155.216,2.8753751939479944e-31
160.223,2.8868083894871174e-31
165.229,2.8982800832536387e-31
170.236,2.9097844981550035e-31
175.243,2.921315390945544e-31
180.25,2.9328692342616113e-31
185.257,2.944615581093137e-31
190.264,3.277081444305082e-31
195.271,5.335513801268536e-29
200.278,5.471308072932452e-26
205.285,3.498764903506589e-23
210.292,1.397234418933485e-20
215.299,3.510538789967631e-18
220.306,5.592074601178872e-16
225.313,5.691830117657393e-14
230.32,3.732664776141429e-12
235.327,1.5907926804363838e-10
240.334,4.445386820430204e-09
245.341,8.216286925618697e-08
250.348,1.017926182117671e-06
255.355,8.540480969028708e-06
260.362,4.921705863297847e-05
265.369,0.00019330205586492446
270.376,0.0004998867302886994
275.382,0.0009540758359471603
280.389,0.0014630196110268967
285.396,0.0019027626913442866
290.403,0.002191999707558092
295.41,0.0023247893152249077
300.417,0.002352332793656196
305.424,0.002339914931542518
310.431,0.0023167065734275966
315.438,0.002291087272390574
320.445,0.0022655991527887743
325.452,0.0022414558479807003
330.459,0.0022189490123935497
335.466,0.0021979837847658223
340.473,0.0021773916382674336
345.48,0.0021562256942466024
350.487,0.002134301570425552
355.494,0.0021121105817295
360.501,0.002090727876183829
365.508,0.0020708097504035642
370.515,0.002052397173953388
375.522,0.0020347630830655637
380.529,0.002016782448791426
385.535,0.0019980507165846258
390.542,0.0019790064511492865
395.549,0.001960488910777096
400.556,0.0019432921671831656
405.563,0.001927500223844922
410.57,0.0019124148472815074
415.577,0.0018970797346479352
420.584,0.0018811471217614398
425.591,0.0018650552282224388
430.598,0.0018495505913946725
435.605,0.0018353429030413496
440.612,0.0018222912098873846
445.619,0.0018097647820520574
450.626,0.0017968263758487242
455.633,0.0017836651511887313
460.64,0.0017707593404775982
465.647,0.0017587710723297985
470.654,0.0017480581417584535
475.661,0.0017382487711196405
480.668,0.0017285538481239336
485.675,0.0017187306062742894
490.682,0.0017090492824992478
495.688,0.0017001640687986912
500.695,0.0016925865847150503
505.702,0.0016861709315175838
510.709,0.001680277346780202
515.716,0.0016746469230305258
520.723,0.00166945832583851
525.73,0.0016652615999798524
530.737,0.0016624513716090462
535.744,0.0016611730622755532
540.751,0.001660851567525604
545.758,0.0016615230055736403
550.765,0.0016633277138822314
555.772,0.0016667165849182403
560.779,0.0016720064642425734
565.786,0.0016794613437997696
570.793,0.0016889316011323705
575.8,0.001700632117036762
580.807,0.0017149390579099708
585.814,0.0017333632472486323
590.821,0.0018034591496695399
595.828,0.001996138369665687
600.834,0.0024939980763125764
605.841,0.0035620954521042797
610.848,0.005414377399575694
615.855,0.007662676680502787
620.862,0.009657224217244196
625.869,0.01130964284786125
630.876,0.012797119990131105
635.883,0.014235893111764784
640.89,0.015625851669062104
645.897,0.01709731441149954
650.904,0.01867336218618998
655.911,0.02031189730870503
