time,F_nu
0.0,2.56326278058356e-31
5.00695,2.571905658717739e-31
10.0139,2.580681110360222e-31
15.0209,2.5895425858974282e-31
20.0278,2.598491007717438e-31
25.0348,2.607527741603524e-31
30.0417,2.6166532699699587e-31
35.0487,2.625868362088558e-31
40.0556,2.6351741798054097e-31
45.0626,2.6445718411037696e-31
50.0695,2.6540617232578135e-31
55.0765,2.663644700986994e-31
60.0834,2.6733220564622553e-31
65.0904,2.6830943627451653e-31
70.0974,2.6929617067925377e-31
75.1043,2.7029259351488906e-31
80.1113,2.7129865273034873e-31
85.1182,2.723144932113727e-31
90.1252,2.7334014859510258e-31
95.1321,2.743756477441278e-31
100.139,2.7542106438721826e-31
105.146,2.7647643451803777e-31
110.153,2.7754173797352188e-31
115.16,2.786170535991311e-31
120.167,2.7970231309416864e-31
125.174,2.8079759602296784e-31
130.181,2.819026285253779e-31
135.188,2.8301615779279156e-31
140.195,2.841372407435565e-31
145.202,2.852649927362285e-31
150.209,2.8639869205998864e-31
155.216,2.875375252841824e-31
160.223,2.886814707426464e-31
165.229,2.9014483370085952e-31
170.236,1.0320672527373032e-30
175.243,1.2232917594298655e-27
180.25,1.2654370869401346e-24
185.257,8.204095857280238e-22
190.264,3.340326891162918e-19
195.271,8.561367404915e-17
200.278,1.3846737996672975e-14
205.285,1.416898499427092e-12
210.292,9.198647304602647e-11
215.299,3.801453298970743e-09
220.306,1.002294827900996e-07
225.313,1.69950499579737e-06
230.32,1.8614729800227464e-05
235.327,0.00013264699911603753
240.334,0.0005561578591858416
245.341,0.001454608901314878
250.348,0.0027799942303608507
255.355,0.004209993488699683
260.362,0.005346142324074548
265.369,0.005997279937143777
270.376,0.006238734679561696
275.382,0.006278601112364019
280.389,0.006273147013313136
285.396,0.006262327562299312
290.403,0.006251592711725304
295.41,0.006241531139248368
300.417,0.006231904257396924
305.424,0.006222851010871507
310.431,0.006214284220552948
315.438,0.006206549788581637
320.445,0.006199346739861609
325.452,0.006192698210318779
330.459,0.0061866033027968975
335.466,0.006181015903309424
340.473,0.006176072107194151
345.48,0.006171705693422851
350.487,0.00616795317777325
355.494,0.006164713657073388
360.501,0.006162182085513123
365.508,0.006160186483543836
370.515,0.006158703370703579
375.522,0.006157887516481416
380.529,0.00615743816233152
385.535,0.006157830144263919
390.542,0.006158616689735034
395.549,0.006160046965254309
400.556,0.006162134159004223
405.563,0.0061647716905473176
410.57,0.006167834831787849
415.577,0.006171776759219469
420.584,0.006176367331483555
425.591,0.006181535109520622
430.598,0.006187341036280994
435.605,0.006193688998548638
440.612,0.006200646449934231
445.619,0.006208424040019175
450.626,0.006216934732275771
455.633,0.006226006083259219
460.64,0.0062355981431765645
465.647,0.006246082182913606
470.654,0.006257272865204602
475.661,0.0062692505825224665
480.668,0.006281941168098738
485.675,0.0062955762617120424
490.682,0.006309826264220547
495.688,0.006324832752940256
500.695,0.006340644012369801
505.702,0.006357419405220345
510.709,0.006374922004853296
515.716,0.00639326557059818
520.723,0.006412577917787851
525.73,0.006432775386006559
530.737,0.006453920009384384
535.744,0.006475926615893143
540.751,0.006498894257227291
545.758,0.006522971291742859
550.765,0.00654809448051201
555.772,0.006574308312700001
560.779,0.0066014836335653365
565.786,0.00662990235014093
570.793,0.006659673687562768
575.8,0.006690805350397669
580.807,0.0067230989885980735
585.814,0.006756600627580234
590.821,0.006791635122993298
595.828,0.006827926605125904
600.834,0.006865757236330975
605.841,0.006905213709730786
610.848,0.006946229958735842
615.855,0.0069888185943094904
620.862,0.0070331330823957365
625.869,0.00707987013846522
630.876,0.007135801464964216
635.883,0.0073012471379524675
640.89,0.007563930824886347
645.897,0.008395931570624656
650.904,0.00926467741783245
655.911,0.010190552781718513
660.918,0.01099554480167748
665.925,0.01156533775516695
670.932,0.011927509961216639
675.939,0.012217028278248283
