time,F_nu
0.0,1.9457713382738589e-31
5.00695,1.9521558908470033e-31
10.0139,1.9586293587866172e-31
15.0209,1.9651566505273519e-31
20.0278,1.9717379667272503e-31
25.0348,1.978373242184076e-31
30.0417,1.985062118606532e-31
35.0487,1.991804601042113e-31
40.0556,1.998600893070486e-31
45.0626,2.0054504256857663e-31
50.0695,2.012353205246333e-31
55.0765,2.019308448202848e-31
60.0834,2.026315961293594e-31
65.0904,2.033375632947059e-31
70.0974,2.040486140224075e-31
75.1043,2.0476471075034914e-31
80.1113,2.0548580180573057e-31
85.1182,2.062117723290542e-31
90.1252,2.069425574060189e-31
95.1321,2.0767799749431705e-31
100.139,2.084180409396011e-31
105.146,2.0916253443069963e-31
110.153,2.0991133269245087e-31
115.16,2.1066431415484333e-31
120.167,2.1142126718989757e-31
125.174,2.121820896633347e-31
130.181,2.1294619984097535e-31
135.188,2.137115630936294e-31
140.195,2.144769135449483e-31
145.202,2.1524160214418296e-31
150.209,2.16005253559267e-31
155.216,2.1676761933550924e-31
160.223,2.175284517436282e-31
165.229,2.182875385278791e-31
170.236,2.1904473687034097e-31
175.243,2.1980008809087854e-31
180.25,2.205860968214702e-31
185.257,2.6022535411679074e-31
190.264,4.0124885533504754e-29
195.271,2.7188923256245375e-26
200.278,1.2263664097369896e-23
205.285,3.674913999857513e-21
210.292,7.352994812758859e-19
215.299,9.88018150310275e-17
220.306,8.969702118903635e-15
225.313,5.536690377083643e-13
230.32,2.338125909979542e-11
235.327,6.798350428753357e-10
240.334,1.369548270337123e-08
245.341,1.924902758273776e-07
250.348,1.904892901234988e-06
255.355,1.3373845147967773e-05
260.362,6.728601868656261e-05
265.369,0.00023400468223561244
270.376,0.0005602713156494017
275.382,0.001030603859437039
280.389,0.0015586495349715621
285.396,0.0020261542129835575
290.403,0.0023486733543016955
295.41,0.002511080236744396
300.417,0.0025543771793070506
305.424,0.0025456930942776615
310.431,0.002522356344457112
315.438,0.0024959343153306236
320.445,0.0024697355454419696
325.452,0.002444904776568957
330.459,0.0024216754047439036
335.466,0.002399522674566177
340.473,0.002377427172781713
345.48,0.002354749594618938
350.487,0.00233170101957321
355.494,0.0023090475570063653
360.501,0.0022875393503415894
365.508,0.0022674632535345397
370.515,0.002248425331151515
375.522,0.002229438320419771
380.529,0.002209990496870575
385.535,0.002190302506040785
390.542,0.002171089176076187
395.549,0.002153006061207788
400.556,0.002136097232481024
405.563,0.00211992947296201
410.57,0.002103747017301486
415.577,0.0020872051498455405
420.584,0.002070818311751471
425.591,0.0020552088903149075
430.598,0.002040631611953773
435.605,0.002026917156569271
440.612,0.0020135311865697304
