time,F_nu
0.0,2.726655487376993e-31
5.00695,2.7359218218940586e-31
10.0139,2.745333877774637e-31
15.0209,2.7548421606752304e-31
20.0278,2.764448210023646e-31
25.0348,2.77415340724923e-31
30.0417,2.783958703994772e-31
35.0487,2.793865447129856e-31
40.0556,2.8038750376125914e-31
45.0626,2.813989179981099e-31
50.0695,2.8242087292338507e-31
55.0765,2.8345350039467936e-31
60.0834,2.8449696607971958e-31
65.0904,2.855513837373965e-31
70.0974,2.8661684279253104e-31
75.1043,2.876935627399651e-31
80.1113,2.8878159275143333e-31
85.1182,2.8988108757316326e-31
90.1252,2.9099217308494924e-31
95.1321,2.9211495696408643e-31
100.139,2.9324960818050804e-31
105.146,2.943961628739588e-31
110.153,2.955547619167874e-31
115.16,2.9672550502485824e-31
120.167,2.9790845555901275e-31
125.174,2.991037575784787e-31
130.181,3.003113380310732e-31
135.188,3.0153039641433697e-31
140.195,3.0275997776790106e-31
145.202,3.0399914887060077e-31
150.209,3.0524714430255426e-31
155.216,3.065030372009777e-31
160.223,3.077663437561374e-31
165.229,3.091401859869739e-31
170.236,5.679420772982728e-31
175.243,4.8282147247574295e-28
180.25,5.627409152491096e-25
185.257,4.07623459100811e-22
190.264,1.83806231475558e-19
195.271,5.172048283074628e-17
200.278,9.104744330236726e-15
205.285,1.005385675442516e-12
210.292,6.9842213380298e-11
215.299,3.0629169623302804e-09
220.306,8.499257243204515e-08
225.313,1.504674552918112e-06
230.32,1.7072912690629184e-05
235.327,0.0001251563122368516
240.334,0.0005400977077301474
245.341,0.0014339624641261015
250.348,0.0027600198918292206
255.355,0.004190613718787751
260.362,0.005321254508837253
265.369,0.005961755430103933
270.376,0.006193209227080215
275.382,0.006229451039558496
280.389,0.006223343733435739
285.396,0.006212423377844
290.403,0.006201675287144974
295.41,0.0061913972208863495
300.417,0.006181872031699006
305.424,0.0061727322993984125
310.431,0.0061642144553272675
315.438,0.006156335856585736
320.445,0.0061490967335281945
325.452,0.006142414560884018
330.459,0.006136263721845153
335.466,0.006130720691596498
340.473,0.006125711196985715
345.48,0.0061213668552728565
350.487,0.006117729321686523
355.494,0.006114487016338602
360.501,0.006111860983213326
365.508,0.006109800224096988
370.515,0.006108344094596032
375.522,0.006107303273071091
380.529,0.006106992965388651
385.535,0.00610710124419307
390.542,0.006108038589369527
395.549,0.00610958569080092
400.556,0.006111742753616692
405.563,0.006114478260963759
410.57,0.006117799389324745
415.577,0.0061216595543660685
420.584,0.006126224848376839
425.591,0.0061313674216422545
430.598,0.006137158483893469
435.605,0.006143628926097242
440.612,0.006150749539919849
445.619,0.006158618105480524
450.626,0.006167138231723752
455.633,0.006176317833758401
460.64,0.006186155729245702
465.647,0.006196746428584083
470.654,0.006207954128916431
475.661,0.0062200277764703354
480.668,0.006232839764579251
485.675,0.006246520602361375
490.682,0.006260836283478205
495.688,0.006275976094058844
500.695,0.006291802577530209
505.702,0.006308689384259352
510.709,0.006326493553213766
515.716,0.006345086016020104
520.723,0.006364598941577901
525.73,0.006385169965801973
530.737,0.006406727925563728
535.744,0.0064292298810293075
540.751,0.006452742687919793
545.758,0.006477331699594508
550.765,0.006503004658478575
555.772,0.0065297690339492
560.779,0.006557748538237911
565.786,0.006586916458179285
570.793,0.006617296692294369
575.8,0.006648892263753654
580.807,0.006682312732149896
585.814,0.006716985061210318
590.821,0.006752983766976309
595.828,0.006790493452335932
600.834,0.006829401182018943
605.841,0.006870225070088107
610.848,0.00691281317514256
615.855,0.006957228062404276
620.862,0.00700357904910431
625.869,0.0070526914863855705
630.876,0.0071137622408406044
635.883,0.007293433197562065
640.89,0.007582171772880779
645.897,0.008510797463023589
650.904,0.00946987540169472
655.911,0.01050153988305198
660.918,0.011393639465833803
665.925,0.011973900649880746
670.932,0.012371864473511657
675.939,0.012685589823266352
680.946,0.012972564184093581
685.953,0.013255695938004887
690.96,0.013526602493934567
695.967,0.01383812085964532
700.974,0.014209066787927811
705.981,0.014519227999315562
710.987,0.014898449566799908
715.994,0.01531318204872375
721.001,0.0157068411031419
726.008,0.016171565588685585
731.015,0.016632554914994192
736.022,0.01714240738199412
741.029,0.01766316926010005
746.036,0.018248350683156816
751.043,0.01886494511301708
756.05,0.019505397139950947
761.057,0.02020990900351571
766.064,0.020961880209429514
771.071,0.02175619187763593
776.078,0.022600855576828557
781.085,0.023534999612095014
786.092,0.024509428567030367
791.099,0.02556340708726797
796.106,0.026706197297379535
801.113,0.027937373686117425
806.12,0.029256200420903905
811.127,0.030685515119870024
816.134,0.03221266566788735
821.14,0.03387483790991571
826.147,0.035646046411212065
831.154,0.037567365827795816
836.161,0.03961447160391944
841.168,0.041821634629073484
846.175,0.044180718233324555
851.182,0.04669071193046077
856.189,0.04934294962954786
861.196,0.052121906594736984
866.203,0.054983054631641506
871.21,0.057891490310667634
876.217,0.060749069832869235
881.224,0.06344784220368259
886.231,0.0660433349853873
891.238,0.06850588456754582
896.245,0.07081097878800889
901.252,0.07293101604797096
906.259,0.07488526492611038
911.266,0.07668733572588454
916.273,0.07839547065125706
921.28,0.08007907210311706
926.287,0.08182303920517202
931.293,0.0836985844721416
936.3,0.08577437403745981
941.307,0.08808894208355719
946.314,0.09063887648413821
951.321,0.09334983332672629
956.328,0.09613125170047437
961.335,0.0988680090334716
966.342,0.10152159571795867
971.349,0.10389685820491151
976.356,0.1052849812740484
981.363,0.1060311165518464
986.37,0.10636365723152014
991.377,0.106408919442775
996.384,0.10626053039287015
1001.39,0.1059773822601859
1006.4,0.10562257604274018
1011.4,0.10522992414461259
1016.41,0.10480915487281878
1021.42,0.10438119283943981
1026.43,0.10396430532999212
1031.43,0.10356534625777392
1036.44,0.10318640252500447
1041.45,0.10281235535547033
1046.45,0.1024607753100112
1051.46,0.10213338021933677
1056.47,0.1018019600475283
1061.47,0.10146198132361306
1066.48,0.10114261772492844
1071.49,0.10080027215203452
1076.5,0.10043725163251595
1081.5,0.1000718410325147
1086.51,0.09967240662622309
1091.52,0.09924972523868487
1096.52,0.09879749080011127
1101.53,0.09830268115236693
1106.54,0.09777642433540841
1111.54,0.09721267018879481
1116.55,0.09659996727035355
1121.56,0.09592483604707404
1126.56,0.09520672045078438
1131.57,0.09443108726584122
1136.58,0.09360746588267477
1141.59,0.09275053485178927
1146.59,0.09181745957864855
1151.6,0.0908370784582514
1156.61,0.08982338670518976
1161.61,0.08874894221635096
1166.62,0.0876354916678166
1171.63,0.08648171756721247
1176.63,0.08526710507651702
1181.64,0.08402550872635717
1186.65,0.08274985515539422
1191.66,0.0814354211639044
1196.66,0.08009034774117632
1201.67,0.078724848474803
1206.68,0.07732456127464116
1211.68,0.07590839620081236
1216.69,0.07446124239026199
1221.7,0.0730091694290111
1226.7,0.07153493755243599
1231.71,0.0700478271131217
1236.72,0.06855612685397044
