source_id,RA_deg,RA_error,Dec_deg,Dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor
1.43E+18,260.6803918,0.016105294,57.79337165,0.015740141,0.637118882,0.016152086,2.683501316,0.019483685,-10.54038711,0.018401362,-13.63469,6.831683,86.19750227,34.39445776,14.444809,14.773365,13.954081,0.81928444,0.9570502,1463.376,1.1973143
1.43E+18,260.2493208,0.009101596,58.35601215,0.0095702,2.170310807,0.009765735,5.89663375,0.012325003,10.20944822,0.014104771,-23.929193,2.9898229,86.89471211,34.59019584,13.058627,13.354477,12.599505,0.7549715,0.95833045,436.6533,1.1947236
1.43E+18,259.7031675,0.01092878,57.62416632,0.010892286,1.733559363,0.011414154,-4.221261805,0.01341961,-19.09893685,0.014742216,-45.067493,1.7520497,86.02788924,34.92521416,13.308352,13.670048,12.784323,0.885725,0.9676618,561.0287,1.2018082
1.43E+18,259.5954109,0.017577162,58.31912626,0.018313162,1.11400444,0.020347638,-8.861946386,0.023196215,7.304927461,0.025448143,-58.163193,5.5307555,86.87833303,34.93515459,14.61705,15.006912,14.067744,0.939168,0.96865976,866.1488,1.2045627
1.43E+18,259.85716,0.012583647,57.74522536,0.012067709,2.00102875,0.012566678,-2.289863417,0.014027717,15.0163275,0.015057192,-24.872826,2.7594433,86.16892407,34.8355142,13.884402,14.304422,13.304712,0.9997101,0.9687386,505.0073,1.2105024
1.43E+18,260.1158786,0.015935501,58.30579348,0.018102251,1.356061322,0.016226152,-5.074513397,0.020805014,-7.325821876,0.02572331,-52.986465,8.687584,86.839254,34.6633232,14.35488,14.690763,13.852091,0.83867264,0.9696415,711.5802,1.2010992
1.43E+18,259.8736697,0.009351573,57.63690738,0.009014959,1.386634873,0.00969535,-7.588210152,0.011477319,4.823832366,0.011359474,-5.4503694,2.1551208,86.0365485,34.83332057,13.076267,13.34998,12.645429,0.7045517,0.97003275,703.671,1.189578
1.43E+18,259.44788,0.01310402,58.10908988,0.013506226,1.100816178,0.013812843,-0.629248611,0.017265018,-4.976008352,0.017899012,-46.81805,4.955192,86.62954901,35.02791465,14.243884,14.582435,13.741321,0.84111404,0.9705914,849.3724,1.1996536
1.43E+18,259.4878202,0.015328109,58.26921304,0.015512703,3.27814177,0.017181547,-4.052642073,0.020871071,-17.74471535,0.021041477,-29.991669,5.4541254,86.82264715,34.99520597,14.459897,15.13888,13.669334,1.4695454,0.9708792,299.8262,1.2598804
1.43E+18,260.3239054,0.013722816,57.61604785,0.013816416,0.85298546,0.014169807,-0.516393637,0.018153239,7.581210692,0.019234028,-74.68388,5.5741844,85.9945671,34.59382094,14.385749,14.674023,13.930896,0.74312687,0.9710004,1134.2635,1.1960695
1.43E+18,259.8187199,0.022023495,57.58748001,0.02113818,2.264181015,0.022593424,-0.022948394,0.027182106,-4.069754935,0.026541889,3.8033485,1.8232166,85.97859556,34.86568579,10.33504,10.452371,10.119354,0.3330164,0.9715824,,1.1643713
1.43E+18,260.3573615,0.016297268,57.83898008,0.014430915,0.948326822,0.015778722,-0.3930002,0.021647666,1.692944398,0.020965036,-25.568779,4.926153,86.26375247,34.56387304,14.464841,14.808729,13.955684,0.85304546,0.9746868,1038.2783,1.2011234
1.43E+18,259.8679948,0.011953268,58.07068848,0.012378398,0.543474542,0.012758657,-0.64897382,0.016001036,-2.395153494,0.016848085,-117.00556,0.23054491,86.5641295,34.80902855,11.41241,12.04717,10.647761,1.3994083,0.975917,,1.2554486
1.43E+18,260.0291072,0.011207109,58.19960519,0.010990691,2.117066359,0.012310341,-1.184939876,0.013129783,-11.91940482,0.015156164,-11.258174,2.0353968,86.71397305,34.71575435,13.189768,13.522099,12.694167,0.8279314,0.9770137,460.0746,1.198429
1.43E+18,260.1589162,0.013790981,58.17484294,0.013259815,0.780207006,0.014543776,0.101941344,0.016971087,-9.18835286,0.019689692,-46.565502,2.3604593,86.67863042,34.64903904,13.911695,14.347409,13.314788,1.0326214,0.9770336,1060.5725,1.2149085
1.43E+18,259.7251548,0.021692626,58.22063727,0.025982345,2.275785651,0.024660176,-0.195559186,0.02634751,-7.868494821,0.03402851,-19.719296,7.34343,86.75262177,34.87410409,15.109862,15.863841,14.263529,1.6003122,0.9799724,436.1973,1.2799343
1.43E+18,259.8097491,0.011185196,57.58906144,0.013242944,1.459025551,0.012273868,9.93729189,0.013887049,-16.13321411,0.016596591,-36.085964,1.779286,85.98087457,34.87038948,13.531431,13.896407,13.0066805,0.88972664,0.9810414,672.8959,1.2006937
1.43E+18,259.505411,0.014137097,57.72040093,0.016922466,0.823103136,0.014701044,-7.450730166,0.017297288,-12.9255405,0.020887759,-30.438093,6.9951878,86.15344833,35.02450985,14.172423,14.514544,13.668192,0.8463516,0.9820601,1169.022,1.1989397
1.43E+18,260.6638619,0.012021809,58.25747688,0.011231976,2.108585971,0.011871544,-7.610037755,0.016420284,2.810567015,0.015574168,-14.026746,3.3491676,86.75966114,34.3786574,13.835512,14.252835,13.256177,0.9966583,0.9843622,461.3034,1.2114924
1.43E+18,260.1778171,0.01357824,57.73190925,0.012777403,2.015073653,0.01377263,8.97101414,0.017494043,-25.64475127,0.018902235,-18.828516,5.600896,86.1403849,34.6654447,14.209007,14.632643,13.622056,1.0105867,0.9851626,491.8301,1.2136819
1.43E+18,260.4410158,0.011374509,58.05895997,0.009993506,1.131499984,0.012387221,3.578026765,0.014363455,-17.61885326,0.013854899,-68.7737,1.7805064,86.52734811,34.50721035,13.199525,13.630911,12.600077,1.0308342,0.9897824,,1.2185566
1.43E+18,259.6867229,0.014888308,58.26055286,0.01895701,0.132624196,0.016973607,-5.976639378,0.018887175,5.175235451,0.02370127,-92.3392,4.643747,86.80288979,34.89148354,14.355291,14.851915,13.695563,1.156352,0.9936351,6160.8706,1.2318716
1.43E+18,260.6337237,0.011384754,57.97169653,0.010619873,0.288418844,0.012080469,0.936513792,0.015047537,-1.433667149,0.013131888,-68.14465,1.4436,86.41488983,34.4100697,13.150703,13.6518955,12.493362,1.1585331,0.9938091,3639.1372,1.2282472
1.43E+18,259.4896978,0.015573128,57.7636322,0.018311447,1.887009956,0.016697029,7.760927848,0.021379322,18.01757904,0.023788732,-11.768671,2.8636706,86.20681078,35.02997022,11.2755995,11.442586,10.979102,0.4634838,0.99384993,519.687,1.1749443
1.43E+18,259.6491534,0.015147635,57.56218651,0.01536218,0.810782888,0.015764432,-1.281012914,0.019415598,-0.617411432,0.020114621,-17.294237,7.0861044,85.95464412,34.95799313,14.408811,14.695412,13.955139,0.7402725,0.99474674,1147.0024,1.1962302
1.43E+18,259.7097843,0.011413102,58.19063728,0.013745938,0.517101402,0.013347275,-3.312191212,0.015234512,0.107761244,0.0179272,-44.61221,1.3527036,86.7168274,34.88426883,13.537505,14.059038,12.867,1.1920385,0.995519,2001.6307,1.2291718
1.43E+18,259.9337787,0.026076227,58.25752807,0.028662592,29.47942462,0.028974975,59.45449096,0.030978646,-84.06711027,0.041141268,-6.4463925,5.1802816,86.78832555,34.76202827,15.364263,17.410934,14.039191,3.3717432,0.9979222,34.0431,1.5364993
