           1           1   2.78115412E-03
           1           2   2.80879997E-03
           1           3   2.83671240E-03
           1           4   2.86511239E-03
           1           5   2.89408793E-03
           1           6   2.92373751E-03
           1           7   2.95417593E-03
           1           8   2.98630772E-03
           1           9   3.02901515E-03
           1          10   3.07645602E-03
           1          11   3.12628644E-03
           1          12   3.17896623E-03
           1          13   3.23507329E-03
           1          14   3.29541904E-03
           1          15   3.34858266E-03
           1          16   3.38520389E-03
           1          17   3.42585309E-03
           1          18   3.47307324E-03
           1          19   3.52488086E-03
           1          20   3.55532439E-03
           2           1   1.63872987E-02
           2           2   1.64250974E-02
           2           3   1.64623428E-02
           2           4   1.64999589E-02
           2           5   1.65380444E-02
           2           6   1.65767130E-02
           2           7   1.66161004E-02
           2           8   1.66554358E-02
           2           9   1.66842341E-02
           2          10   1.67105738E-02
           2          11   1.67379007E-02
           2          12   1.67664587E-02
           2          13   1.67964473E-02
           2          14   1.68283191E-02
           2          15   1.68412048E-02
           2          16   1.68182645E-02
           2          17   1.67924594E-02
           2          18   1.67631302E-02
           2          19   1.67294927E-02
           2          20   1.66925993E-02
           3           1   4.42837477E-02
           3           2   4.42160517E-02
           3           3   4.41460013E-02
           3           4   4.40756753E-02
           3           5   4.40048389E-02
           3           6   4.39332984E-02
           3           7   4.38608229E-02
           3           8   4.37782481E-02
           3           9   4.35851254E-02
           3          10   4.33557108E-02
           3          11   4.31204401E-02
           3          12   4.28779460E-02
           3          13   4.26262133E-02
           3          14   4.23629843E-02
           3          15   4.20824103E-02
           3          16   4.17775884E-02
           3          17   4.14437056E-02
           3          18   4.10655290E-02
           3          19   4.06534076E-02
           3          20   4.03508618E-02
           4           1   8.86495039E-02
           4           2   8.83133933E-02
           4           3   8.79728943E-02
           4           4   8.76315907E-02
           4           5   8.72885510E-02
           4           6   8.69427547E-02
           4           7   8.65932480E-02
           4           8   8.62130895E-02
           4           9   8.55148956E-02
           4          10   8.47125202E-02
           4          11   8.38929042E-02
           4          12   8.30514804E-02
           4          13   8.21817890E-02
           4          14   8.12762082E-02
           4          15   8.03745463E-02
           4          16   7.95004591E-02
           4          17   7.85482973E-02
           4          18   7.74743780E-02
           4          19   7.63133913E-02
           4          20   7.54957050E-02
           5           1  0.152615964    
           5           2  0.151795730    
           5           3  0.150969118    
           5           4  0.150141895    
           5           5  0.149311751    
           5           6  0.148476347    
           5           7  0.147633210    
           5           8  0.146725878    
           5           9  0.145154342    
           5          10  0.143367842    
           5          11  0.141548485    
           5          12  0.139686227    
           5          13  0.137767658    
           5          14  0.135776401    
           5          15  0.133838415    
           5          16  0.132034749    
           5          17  0.130076647    
           5          18  0.127874970    
           5          19  0.125506014    
           5          20  0.123868123    
           6           1  0.240138501    
           6           2  0.238557339    
           6           3  0.236968756    
           6           4  0.235380739    
           6           5  0.233789146    
           6           6  0.232189387    
           6           7  0.230576873    
           6           8  0.228850454    
           6           9  0.225940809    
           6          10  0.222652957    
           6          11  0.219312161    
           6          12  0.215900719    
           6          13  0.212394863    
           6          14  0.208765522    
           6          15  0.205280200    
           6          16  0.202114508    
           6          17  0.198686123    
           6          18  0.194840342    
           6          19  0.190714151    
           6          20  0.187878504    
           7           1  0.356115252    
           7           2  0.353424996    
           7           3  0.350727290    
           7           4  0.348033190    
           7           5  0.345335722    
           7           6  0.342627138    
           7           7  0.339899540    
           7           8  0.336989284    
           7           9  0.332167804    
           7          10  0.326742113    
           7          11  0.321239203    
           7          12  0.315630585    
           7          13  0.309878200    
