x,y
0,78.1054382
1,60.7151871
2.75,63.0822182
4.5,59.751049
6.25,40.9093018
8,34.1807518
9.75,25.8430729
11.5,25.6252766
13.25,25.6113682
15,25.5645752
17,22.8531132
18,21.7525711
19,20.8503113
20,20.3227119
21,20.138031
22,20.3308239
23,21.2843094
24,22.6328716
25,24.212635
